,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Enero,806945,20856706,1813730,10825046,17494383,35903047,3643221,11281492,66107134,7542293,1449728,8764947,348488,2368164,85193056,478657,8987516,98754578,134895294,1560203,147093272,4593497,21454805,692216202,33967744,60955,2373629,19456153,114683,68780,34939273,38913455,61990,95535,2434733,61266476,205475116,5446111,7796147,957291,1153775,798207,145135192,253992,902831,4652129,2498277,5766379,6153859,618445,7438447,6873496,595673100,1287889302,2018,Enero,1
Febrero,706990,17732388,2609193,9934349,16010274,38385745,3463810,9233713,64452741,6427397,2290549,8634984,449820,3039590,77949062,534323,7221942,85624927,129086792,1249416,110486790,4735352,18505970,618766117,38639572,36594,8255865,5243249,98330,394950,40925919,82501897,635505,49461,2071387,59167283,154052158,4679167,8224902,1116019,992529,786292,150472464,149862,1037384,4613126,2208896,6638016,6140567,817877,3780042,4053167,587782480,1206548597,2018,Febrero,2
Marzo,845700,21283728,3118219,11693131,13427321,37274939,3178660,10167619,71618406,7561270,9512059,9022584,949039,3310552,91982818,1108270,6890054,48232888,137043556,1768914,130540084,5626743,18558407,644714961,43078707,17438,34934947,1658498,19506,776471,57521452,143309658,489625,10215,1904446,67914634,132213863,6147724,7777901,729307,1862948,1301326,166113664,213381,1064720,5458933,2992382,7059802,6446335,1936954,2656713,5041635,700653185,1345368146,2018,Marzo,3
Abril,639705,19343212,2935592,10779202,11321554,32430182,2347387,9067061,61781309,7975372,18720742,8171588,1670777,4080487,104833894,2892094,8138766,26276713,80427034,1893201,88147190,8366418,19804732,532044212,41720737,1412123,77688578,164649,370968,813282,58598201,165348952,1544769,1044,1951819,64709899,71215347,5912256,6813672,5674439,4805676,4991276,137978966,5829138,1119435,5578629,2973016,6429344,5016203,19163943,3100524,10950638,711877523,1243921735,2018,Abril,4
Mayo,474785,16353721,1417753,10243577,10281003,30645459,2407477,10092201,62935143,4084901,16542085,2988667,892232,3966675,57769492,3377744,14813012,23691250,66304463,4248094,65339503,17607344,17373086,443849667,24310956,43457569,108462741,55182,15941331,1951282,61916868,107676076,1650639,450345,2344554,86066042,31480877,3572201,7285444,50807916,44580268,7749460,116079294,70736972,1163638,4159002,3485662,5939467,3713859,115225053,2638643,15237991,938139332,1381988999,2018,Mayo,5
Junio,188305,18960924,133655,4539176,6484592,9433484,545488,13299733,23430516,1362413,11752945,573007,489024,4162818,17341364,6358495,17153495,20135585,49308915,4490412,41635494,10264425,14613070,276657335,14219443,51696466,58078073,62819,23092351,12286776,30970677,16470454,2115753,1748590,1679275,69485058,2266007,4133506,6325672,88126474,88416036,4694244,60376897,83416122,1048317,1618389,3020752,6527656,1253369,117059339,5741995,5063653,760994163,1037651498,2018,Junio,6
Julio,149630,21297101,33347,735509,2778704,3621436,326126,15333971,5839372,1464927,2961754,482026,115244,3832837,15871437,4454281,19775734,12123401,31654363,1892913,24335034,2274955,9228001,180582103,12142834,23400753,6871685,34416,18803667,16181847,2851474,3524594,1081699,809350,1697208,44446320,1088302,3962038,5152671,79645869,81319370,739872,36287715,89075643,443645,3101581,2374359,4537958,593780,76516539,37998161,2960438,557643788,738225891,2018,Julio,7
Agosto,208994,22479296,7720,1730353,3309436,3312708,841028,14397688,5001762,2079805,850127,641217,114491,3289441,18103496,1108868,7832406,12890908,24036345,536042,32613891,1519382,6190345,163095749,14698430,14734299,15141090,18534,6860706,20295760,7260479,18648338,244002,1495399,1976928,37098727,593128,4840615,5824077,88890364,56131981,1179666,18812669,83823294,383365,8543143,2149854,4730777,500846,74233086,68139461,4000390,561249408,724345157,2018,Agosto,8
Septiembre,149173,19907491,7403,1160305,7444428,8086975,1347564,13254268,4571929,1530492,1201630,546730,66313,3488690,15215196,985334,8903901,29561005,36278695,338502,33040019,1537188,7372047,195995278,12168091,5089139,2406112,1393909,886920,18272260,5464912,1917144,963326,1028886,2163678,33683261,17178344,15375732,8230378,43449333,14790378,1009425,9974154,49160855,372602,9881522,2516854,4246970,573898,15621310,66132728,8702691,352654812,548650090,2018,Septiembre,9
Octubre,275284,20360368,120955,1952557,13746332,32307222,3336815,13120836,10878788,1825382,1303833,1211337,81040,4081833,30148656,1947371,9991902,59650779,61272418,517445,52579191,1857276,9831155,332398775,13596864,2314970,3508550,39543726,40792,13491134,22920368,1522237,1292887,483517,3110305,52766481,145899083,21009792,7260622,18274850,7015681,1427479,21675000,22476084,796313,11234305,2408575,4847947,2035849,3624195,59883480,15091665,499552751,831951526,2018,Octubre,10
