,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Enero,563.0,12424.0,1422.0,13234.0,15201.0,37020.0,4424.0,22773.0,67170.0,9042.0,562.0,5718.0,248.0,947.0,104068.0,287.0,20249.0,98331.0,94757.0,941.0,123989.0,7675.0,14549.0,655594.0,11277.0,102.0,330.0,19248.0,23.0,65.0,3981.0,13073.0,16.0,77.0,1961.0,59501.0,210761.0,2903.0,10338.0,2140.0,1605.0,106.0,215930.0,364.0,526.0,7178.0,2794.0,7972.0,7510.0,759.0,4056.0,6137.0,590733.0,1246327.0,2018,Enero,1
Febrero,552.0,10788.0,2827.0,11930.0,15363.0,43373.0,4494.0,18384.0,71224.0,8020.0,746.0,5601.0,290.0,1348.0,101819.0,74.0,16279.0,74472.0,94195.0,768.0,104763.0,7866.0,10892.0,606068.0,13123.0,60.0,891.0,5488.0,13.0,185.0,4394.0,28431.0,107.0,28.0,1686.0,58110.0,136924.0,2591.0,10400.0,1749.0,1232.0,76.0,203787.0,148.0,606.0,7314.0,2236.0,9019.0,7063.0,908.0,2011.0,2853.0,501433.0,1107501.0,2018,Febrero,2
Marzo,593.0,12485.0,2576.0,14023.0,18201.0,47874.0,4037.0,19313.0,78390.0,9766.0,2416.0,5923.0,406.0,1730.0,123193.0,618.0,11592.0,61701.0,111609.0,1133.0,119965.0,8424.0,12184.0,668152.0,12728.0,25.0,3675.0,1536.0,2.0,423.0,6636.0,58535.0,66.0,53.0,1822.0,66341.0,110644.0,3286.0,10047.0,1830.0,2029.0,138.0,222824.0,139.0,609.0,8503.0,3011.0,9558.0,7533.0,2035.0,1570.0,2739.0,538337.0,1206489.0,2018,Marzo,3
Abril,433.0,11370.0,2945.0,12943.0,16895.0,48239.0,3036.0,19022.0,65636.0,9116.0,6146.0,5380.0,1577.0,1941.0,116960.0,1810.0,18166.0,35418.0,70785.0,1543.0,83580.0,11239.0,13729.0,557909.0,12195.0,459.0,12303.0,155.0,139.0,606.0,8643.0,91710.0,190.0,24.0,1867.0,62883.0,56690.0,2897.0,8312.0,3945.0,3957.0,509.0,182080.0,2840.0,612.0,7605.0,2793.0,9710.0,5732.0,25642.0,1772.0,5940.0,512210.0,1070119.0,2018,Abril,4
Mayo,429.0,8990.0,1614.0,12316.0,14138.0,41800.0,2790.0,19116.0,62873.0,3681.0,6103.0,2122.0,462.0,1889.0,65898.0,2232.0,27953.0,26391.0,44943.0,4522.0,58117.0,22006.0,14940.0,445325.0,8938.0,27835.0,22016.0,59.0,6714.0,1119.0,8127.0,58523.0,349.0,135.0,1615.0,67935.0,24708.0,2337.0,8699.0,31225.0,40905.0,747.0,150251.0,41211.0,658.0,5261.0,3613.0,9485.0,4186.0,157518.0,1502.0,9302.0,694973.0,1140298.0,2018,Mayo,5
Junio,221.0,13992.0,184.0,5626.0,9302.0,15532.0,749.0,27717.0,24024.0,800.0,5293.0,369.0,426.0,2762.0,18796.0,6949.0,31058.0,27774.0,33925.0,5510.0,35117.0,14603.0,13417.0,294146.0,6229.0,39866.0,12103.0,40.0,10939.0,8463.0,5718.0,11124.0,526.0,618.0,1507.0,49124.0,2742.0,2386.0,7439.0,73597.0,109059.0,767.0,77345.0,62223.0,557.0,1931.0,4682.0,10261.0,1250.0,234827.0,2418.0,3610.0,741351.0,1035497.0,2018,Junio,6
Julio,64.0,14445.0,18.0,1099.0,3733.0,6109.0,466.0,36949.0,5768.0,846.0,1039.0,245.0,228.0,1697.0,15168.0,4015.0,40597.0,15218.0,25150.0,2628.0,22072.0,3812.0,6941.0,208307.0,6151.0,21058.0,1371.0,19.0,11941.0,13019.0,497.0,3117.0,247.0,437.0,1211.0,30368.0,1524.0,2716.0,5417.0,84065.0,117096.0,167.0,44675.0,91988.0,215.0,3210.0,3337.0,7556.0,490.0,205142.0,17481.0,2588.0,677103.0,885410.0,2018,Julio,7
Agosto,236.0,15637.0,7.0,1846.0,3877.0,5317.0,1563.0,43123.0,4584.0,1367.0,310.0,352.0,263.0,2332.0,15496.0,836.0,17927.0,11393.0,18219.0,704.0,25930.0,3706.0,3628.0,178653.0,7370.0,12353.0,3272.0,6.0,3321.0,19193.0,1403.0,10028.0,102.0,692.0,1275.0,22670.0,661.0,3471.0,7204.0,101475.0,81126.0,213.0,22647.0,81386.0,157.0,9137.0,2373.0,7753.0,435.0,172371.0,34253.0,3216.0,609563.0,788216.0,2018,Agosto,8
Septiembre,135.0,14905.0,6.0,1327.0,5934.0,12573.0,2309.0,39735.0,3465.0,753.0,447.0,252.0,158.0,2021.0,12467.0,930.0,23483.0,32007.0,28415.0,662.0,29569.0,3967.0,4886.0,220406.0,4867.0,4615.0,291.0,982.0,782.0,15749.0,674.0,1180.0,169.0,578.0,1386.0,21116.0,16992.0,12798.0,10974.0,51034.0,27449.0,270.0,10279.0,50700.0,212.0,11121.0,2677.0,6413.0,685.0,45754.0,33560.0,8725.0,342032.0,562438.0,2018,Septiembre,9
Octubre,897.0,13784.0,45.0,1754.0,14649.0,32808.0,4493.0,37226.0,9834.0,1111.0,639.0,786.0,122.0,1792.0,31827.0,2847.0,31820.0,67834.0,51949.0,774.0,40913.0,4677.0,6929.0,359510.0,6048.0,1506.0,441.0,34946.0,33.0,11122.0,2802.0,822.0,335.0,304.0,2285.0,40334.0,158909.0,23346.0,9372.0,23948.0,14671.0,522.0,24974.0,23143.0,475.0,13724.0,2921.0,7446.0,2001.0,12134.0,30895.0,15232.0,464691.0,824201.0,2018,Octubre,10
Noviembre,415.0,11743.0,108.0,7097.0,16799.0,38049.0,3838.0,41784.0,32184.0,4781.0,451.0,3282.0,19.0,1769.0,86121.0,3079.0,26685.0,89479.0,73475.0,1474.0,59657.0,5106.0,9423.0,516818.0,8041.0,506.0,839.0,56014.0,14.0,1454.0,3268.0,678.0,52.0,397.0,2145.0,51883.0,287347.0,6549.0,14440.0,5662.0,2895.0,639.0,146120.0,2932.0,503.0,11260.0,3271.0,9999.0,5002.0,1264.0,27370.0,14853.0,665397.0,1182215.0,2018,Noviembre,11
Diciembre,549.0,11168.0,765.0,13347.0,20965.0,33214.0,13047.0,27894.0,60578.0,8711.0,607.0,5765.0,296.0,1699.0,103382.0,581.0,15066.0,108503.0,98481.0,1090.0,108899.0,6947.0,19501.0,661055.0,10655.0,571.0,270.0,49848.0,149.0,167.0,4271.0,1443.0,163.0,92.0,1528.0,69337.0,360834.0,3135.0,9351.0,1708.0,3279.0,123.0,226869.0,397.0,590.0,7464.0,5352.0,9133.0,5543.0,3598.0,13770.0,11578.0,801218.0,1462273.0,2018,Diciembre,12
