,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Enero,32339.0,343547.0,9556.0,22087.0,33522.0,2952400.0,160326.0,3499317.0,1109276.0,218753.0,5671408.0,62754.0,101829.0,16796970.0,1513008.0,22514.0,16689962.0,1275518.0,6075128.0,1868096.0,9160506.0,525161.0,4674515.0,72818492.0,13203981.0,3590.0,2901684.0,125289.0,1164170.0,327152.0,18119439.0,5334394.0,108320.0,17148.0,11952334.0,910802.0,896568.0,8764202.0,12241121.0,194594.0,6725939.0,592090.0,830817.0,29373.0,1402.0,2679471.0,9263012.0,14895260.0,20755.0,236347.0,10734726.0,9177642.0,131451622.0,204270114.0,2018,Enero,1
Febrero,16199.0,189865.0,4546.0,11833.0,29971.0,2952252.0,446804.0,2875642.0,1355920.0,238257.0,5444398.0,60090.0,111419.0,21499128.0,1370806.0,74995.0,16489623.0,812406.0,6259775.0,1263305.0,8146661.0,624830.0,4076141.0,74354866.0,13169016.0,750.0,5951647.0,6660.0,316407.0,1710814.0,29453400.0,8388548.0,201693.0,8992.0,12787417.0,1039291.0,2999085.0,8583118.0,12167660.0,254943.0,8014224.0,417463.0,566802.0,628524.0,5844.0,4098315.0,8532017.0,11752691.0,118964.0,983226.0,9237113.0,7781781.0,149176405.0,223531271.0,2018,Febrero,2
Marzo,13721.0,816393.0,5732.0,8011.0,41225.0,1320682.0,604743.0,5243078.0,389678.0,288483.0,7210573.0,58163.0,59550.0,21989973.0,1686153.0,60226.0,21391876.0,567210.0,8920129.0,1255546.0,9605276.0,1242929.0,4274908.0,87054258.0,19630635.0,360.0,13183064.0,40363.0,13947.0,3627373.0,28648044.0,6260984.0,281611.0,61494.0,16394163.0,2393921.0,3425083.0,10493115.0,13884469.0,165992.0,7933340.0,510997.0,2146159.0,653390.0,6471.0,8690976.0,9921061.0,15173404.0,370193.0,2817313.0,8358909.0,9683934.0,184770765.0,271825023.0,2018,Marzo,3
Abril,11353.0,199394.0,3357.0,9073.0,105721.0,967736.0,1371492.0,5437482.0,585766.0,468974.0,3223088.0,37541.0,36569.0,15768751.0,1789870.0,93671.0,18994088.0,173518.0,6628425.0,899991.0,7932418.0,975894.0,4637641.0,70351813.0,23655049.0,11004.0,25222258.0,11958.0,4032.0,4272606.0,22074913.0,2558823.0,190965.0,2924.0,14885497.0,1929341.0,5255799.0,10827916.0,15395080.0,280674.0,8245704.0,1271888.0,5502855.0,250715.0,7444.0,6078646.0,9882024.0,18332366.0,291370.0,12093028.0,9365249.0,11052300.0,208952428.0,279304241.0,2018,Abril,4
Mayo,6058.0,194892.0,4873.0,22092.0,57266.0,122243.0,1278082.0,2180106.0,700486.0,400579.0,529068.0,59131.0,73371.0,13518340.0,2240009.0,1066226.0,17948497.0,56296.0,8048743.0,835421.0,7899689.0,1049712.0,3945113.0,62236293.0,25813989.0,37548.0,20817817.0,119691.0,3621.0,790115.0,18274125.0,943354.0,295097.0,9928.0,28205269.0,3455391.0,3459778.0,6888163.0,16907101.0,721544.0,4080760.0,1209451.0,5939057.0,565304.0,6278.0,4980182.0,10939872.0,15899225.0,745058.0,26330461.0,10800952.0,11417451.0,219656582.0,281892875.0,2018,Mayo,5
Junio,434.0,136366.0,2010.0,7959.0,18333.0,70164.0,515278.0,1094485.0,837007.0,345788.0,1379321.0,178966.0,112621.0,8822229.0,1927354.0,409744.0,13338030.0,50270.0,5150394.0,879744.0,8823350.0,825326.0,4022454.0,48947627.0,28804592.0,206175.0,5077920.0,9702.0,137821.0,79059.0,5275078.0,1070211.0,67615.0,12429.0,21503833.0,17556729.0,271423.0,7553555.0,14427253.0,438217.0,1345248.0,127381.0,2213420.0,343758.0,9151.0,1996257.0,10794927.0,17697322.0,1631485.0,8708258.0,3632295.0,8940020.0,159931134.0,208878761.0,2018,Junio,6
Julio,4169.0,112408.0,130023.0,3250.0,12494.0,61135.0,271364.0,329598.0,653878.0,303275.0,4435796.0,262237.0,75361.0,7126897.0,3508381.0,3927.0,5751239.0,199066.0,2653933.0,562239.0,10030386.0,435973.0,3448429.0,40375458.0,20890095.0,36654.0,227743.0,10279.0,63559.0,419413.0,1180348.0,925006.0,126267.0,22711.0,13572750.0,31961836.0,738336.0,7810863.0,13555261.0,553589.0,318052.0,42098.0,5475283.0,206367.0,7849.0,1437791.0,10437543.0,16478231.0,2064676.0,1115175.0,3517857.0,7683771.0,140879403.0,181254861.0,2018,Julio,7
Agosto,1407.0,488230.0,178850.0,3608.0,19460.0,42531.0,144339.0,1189349.0,803969.0,355083.0,3360250.0,242209.0,34467.0,2194813.0,3250479.0,67026.0,6661085.0,92636.0,1245882.0,571074.0,12011163.0,372606.0,2628294.0,35958810.0,18644996.0,82638.0,1768557.0,518.0,367751.0,48772.0,1420357.0,504874.0,60562.0,29268.0,16534910.0,36081591.0,2204826.0,4907389.0,7597247.0,365248.0,411091.0,273058.0,18674962.0,242880.0,68314.0,767787.0,7478630.0,15321528.0,562225.0,623905.0,1168379.0,7300046.0,143512309.0,179471119.0,2018,Agosto,8
Septiembre,19138.0,962830.0,222197.0,17895.0,20219.0,43526.0,151676.0,1834413.0,1228611.0,470802.0,3714415.0,165869.0,38777.0,8970688.0,3954935.0,144725.0,8977987.0,32659.0,628852.0,1020830.0,10618556.0,291629.0,3624066.0,47155295.0,24826812.0,31853.0,5608245.0,454.0,14074.0,122027.0,2841663.0,519223.0,252193.0,84230.0,13851074.0,19228706.0,2405017.0,1864014.0,6124414.0,225642.0,484270.0,623790.0,36971468.0,119901.0,149856.0,1298647.0,8351378.0,14653062.0,817887.0,164529.0,1284552.0,8010403.0,150929384.0,198084679.0,2018,Septiembre,9
Octubre,8114.0,690116.0,185983.0,18132.0,17743.0,195939.0,231406.0,2129727.0,2081845.0,342464.0,5259911.0,196372.0,46131.0,13250599.0,2738328.0,675739.0,17241521.0,65707.0,2285065.0,2597404.0,14291434.0,192742.0,4205947.0,68948369.0,25004975.0,38183.0,9911029.0,228897.0,24390.0,208460.0,8744115.0,1918208.0,256997.0,189564.0,20200007.0,4713583.0,2029677.0,2317968.0,10808173.0,248000.0,6419884.0,1213101.0,34596148.0,148065.0,392883.0,2177427.0,9621060.0,18263893.0,471803.0,455119.0,3365922.0,13041143.0,177008674.0,245957043.0,2018,Octubre,10
Noviembre,1866.0,438855.0,8879.0,25427.0,42499.0,1129691.0,304062.0,2842693.0,1534786.0,179535.0,5347409.0,65462.0,63315.0,24526444.0,1387704.0,43176.0,27355942.0,615888.0,4951460.0,3238120.0,13293771.0,363818.0,4963413.0,92724215.0,12511592.0,4360.0,9500167.0,153750.0,649829.0,313063.0,10809652.0,2108502.0,882600.0,154299.0,13662566.0,1847659.0,982714.0,6638893.0,12350489.0,343542.0,7767520.0,956700.0,4916662.0,16538.0,9294.0,2073066.0,11320199.0,16707273.0,348592.0,551023.0,9305393.0,12673711.0,139559648.0,232283863.0,2018,Noviembre,11
Diciembre,7522.0,267930.0,5301.0,51897.0,56597.0,2170568.0,194691.0,3347806.0,1200671.0,285151.0,6022679.0,60106.0,76577.0,20326440.0,2052291.0,89703.0,38557702.0,1147093.0,7191084.0,3429550.0,11678768.0,490597.0,6804742.0,105515466.0,11141172.0,62178.0,5474780.0,582007.0,3008425.0,131728.0,15990203.0,7601865.0,614622.0,223584.0,8828060.0,1836582.0,1097327.0,8627887.0,11525030.0,260074.0,7415522.0,700116.0,1083269.0,72694.0,2477.0,2254155.0,15726897.0,15041714.0,501529.0,289432.0,13550462.0,11223991.0,144867782.0,250383248.0,2018,Diciembre,12
