,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Enero,40.0,200.0,17.0,42.0,39.0,4770.0,408.0,9009.0,2462.0,184.0,1334.0,18.0,173.0,10009.0,991.0,11.0,92171.0,1536.0,5713.0,3453.0,8473.0,1670.0,3693.0,146416.0,5787.0,4.0,472.0,197.0,222.0,228.0,2458.0,1916.0,6.0,11.0,10867.0,605.0,998.0,5148.0,14094.0,348.0,9271.0,67.0,1277.0,28.0,0.0,3578.0,13535.0,28531.0,25.0,400.0,4796.0,6668.0,111537.0,257953.0,2018,Enero,1
Febrero,12.0,92.0,10.0,23.0,23.0,4994.0,1132.0,8363.0,3220.0,277.0,1779.0,24.0,310.0,9630.0,1025.0,98.0,95394.0,1141.0,6458.0,2575.0,8669.0,2367.0,3655.0,151271.0,5686.0,0.0,819.0,5.0,57.0,960.0,3607.0,3540.0,57.0,1.0,8626.0,769.0,2773.0,6397.0,12841.0,543.0,11335.0,49.0,975.0,246.0,0.0,4545.0,11725.0,20043.0,143.0,1586.0,4492.0,5665.0,107485.0,258756.0,2018,Febrero,2
Marzo,12.0,485.0,9.0,13.0,55.0,2295.0,1240.0,12565.0,1256.0,368.0,1966.0,20.0,46.0,10109.0,1056.0,62.0,107591.0,959.0,8514.0,1630.0,10295.0,3277.0,4573.0,168396.0,8326.0,0.0,1755.0,12.0,10.0,2062.0,3217.0,3019.0,77.0,34.0,10646.0,2228.0,3750.0,6275.0,14080.0,303.0,11782.0,55.0,4018.0,315.0,1.0,7434.0,14417.0,27792.0,361.0,5081.0,4276.0,6722.0,138048.0,306444.0,2018,Marzo,3
Abril,11.0,137.0,8.0,18.0,141.0,1459.0,2882.0,18728.0,1625.0,665.0,959.0,19.0,26.0,10635.0,1081.0,113.0,88834.0,278.0,6697.0,1417.0,7038.0,3031.0,3415.0,149217.0,10585.0,4.0,4071.0,6.0,4.0,2350.0,2884.0,1305.0,11.0,0.0,9839.0,2044.0,6912.0,6354.0,16244.0,625.0,11949.0,159.0,10670.0,121.0,6.0,6275.0,13731.0,32846.0,284.0,19230.0,5135.0,7223.0,170867.0,320084.0,2018,Abril,4
Mayo,11.0,90.0,4.0,36.0,54.0,186.0,2549.0,6363.0,1490.0,463.0,185.0,36.0,94.0,9505.0,1512.0,1501.0,84929.0,70.0,7236.0,1177.0,8877.0,2485.0,2572.0,131425.0,14344.0,33.0,4708.0,98.0,3.0,939.0,2555.0,575.0,49.0,1.0,16280.0,3174.0,4791.0,4980.0,15957.0,715.0,5106.0,173.0,11801.0,357.0,0.0,5468.0,16498.0,29726.0,793.0,40227.0,6684.0,8419.0,194454.0,325879.0,2018,Mayo,5
Junio,1.0,95.0,3.0,18.0,18.0,92.0,1075.0,3571.0,1551.0,357.0,449.0,105.0,265.0,6937.0,1646.0,599.0,55155.0,49.0,5172.0,467.0,13125.0,1183.0,2540.0,94473.0,17603.0,119.0,1688.0,3.0,66.0,112.0,1527.0,823.0,5.0,6.0,17476.0,16539.0,274.0,4289.0,12828.0,1320.0,2138.0,94.0,4494.0,504.0,1.0,2269.0,16181.0,36634.0,2009.0,19149.0,3317.0,7412.0,168880.0,263353.0,2018,Junio,6
Julio,6.0,73.0,94.0,10.0,10.0,99.0,626.0,870.0,1102.0,308.0,1318.0,197.0,222.0,13105.0,2126.0,8.0,29871.0,275.0,2335.0,723.0,15087.0,1462.0,2119.0,72046.0,14502.0,249.0,64.0,3.0,33.0,442.0,397.0,516.0,28.0,9.0,21430.0,25694.0,884.0,5126.0,11622.0,1248.0,739.0,17.0,10271.0,729.0,1.0,1452.0,16233.0,31590.0,2457.0,4155.0,4300.0,5922.0,160113.0,232159.0,2018,Julio,7
Agosto,1.0,270.0,131.0,9.0,30.0,75.0,288.0,3685.0,1368.0,291.0,941.0,202.0,86.0,2311.0,2154.0,332.0,28545.0,151.0,1272.0,548.0,22929.0,1158.0,2016.0,68793.0,11807.0,332.0,291.0,0.0,72.0,46.0,415.0,187.0,11.0,19.0,18958.0,26057.0,1873.0,3091.0,8073.0,1034.0,1025.0,48.0,28715.0,889.0,116.0,991.0,11440.0,30107.0,765.0,2029.0,1253.0,5210.0,154854.0,223647.0,2018,Agosto,8
Septiembre,30.0,619.0,138.0,30.0,23.0,68.0,253.0,5896.0,1670.0,449.0,959.0,113.0,11.0,19111.0,2949.0,357.0,27491.0,55.0,841.0,927.0,11469.0,714.0,1791.0,75964.0,14197.0,51.0,800.0,0.0,12.0,185.0,662.0,284.0,45.0,68.0,17142.0,13275.0,1683.0,1367.0,7734.0,638.0,610.0,80.0,49356.0,524.0,277.0,1706.0,11951.0,29257.0,1231.0,411.0,9602.0,5550.0,168698.0,244662.0,2018,Septiembre,9
Octubre,12.0,492.0,109.0,33.0,21.0,279.0,323.0,4351.0,2724.0,361.0,1375.0,152.0,31.0,15053.0,2047.0,3437.0,42146.0,79.0,2378.0,2459.0,24413.0,142.0,2613.0,105030.0,13566.0,239.0,1202.0,198.0,26.0,268.0,1518.0,530.0,62.0,132.0,18087.0,3285.0,1694.0,1585.0,14142.0,1087.0,9114.0,168.0,45874.0,600.0,623.0,3215.0,13939.0,34757.0,847.0,867.0,2425.0,10086.0,180136.0,285166.0,2018,Octubre,10
